MOC,Module,Lab,Time,VMs
20745B,1,-,30,-
20745B,2,A,40,20745B-LON-DC1/20745B-LON-SVR1/20745B-LON-SVR2
20745B,2,B,50,20745B-LON-DC1/20745B-LON-SVR1/20745B-LON-SVR2
20745B,3,-,60,20745B-LON-DC1/20745B-LON-SVR1/20745B-LON-SVR2/20745B-LON-SVR3/20745B-LON-VMM/20745B-NAT
20745B,4,-,60,20745B-LON-DC1/20745B-LON-VMM/20745B-LON-FS1/20745B-LON-FS2/20745B-LON-SS/20745B-LON-SVR3/20745B-LON-WSUS
20745B,5,-,60,20745B-LON-DC1/20745B-LON-VMM/20745B-LON-SVR3
20745B,6,A,60,20745B-LON-DC1/20745B-LON-VMM/20745B-LON-SVR1/20745B-LON-SVR2/20745B-LON-SVR3
20745B,6,b,70,20745B-LON-DC1/20745B-LON-VMM/20745B-LON-SVR1/20745B-LON-SVR2/20745B-LON-SVR3
20745B,7,-,40,20745B-LON-DC1/20745B-LON-VMM/20745B-LON-SVR1/20745B-LON-SVR2/20745B-LON-SVR3
20745B,8,-,40,20745B-LON-DC1/20745B-LON-VMM/20745B-LON-SVR1/20745B-LON-SVR2/20745B-LON-SVR3
20745B,9,-,60,20745B-LON-DC1/20745B-LON-VMM/20745B-LON-SVR1/20745B-LON-SVR2/20745B-LON-SVR3
20745B,10,-,45,20745B-LON-DC1/20745B-LON-VMM/20745B-LON-SVR1/20745B-LON-SVR2/20745B-LON-OM
20745B,11,-,60,20745B-LON-DC1/20745B-LON-VMM/20745B-LON-SVR1/20745B-LON-SVR2/20745B-NAT
20745B,12,-,45,20745B-LON-DC1/20745B-LON-VMM/20745B-LON-SVR1/20745B-LON-SVR2/20745B-NAT/20745B-LON-DPM
